lng,lat,spp,name,spp_rtm,spp_dam
-96.069042,29.289073,-32.550000000000004,CBEC_ALL,37.96,70.51
-96.068816,29.287854,-27.93,CBECII_1,40.77,68.7
-96.055349,31.820607,-26.78000000000001,BBSES_UNIT1,42.51,69.29
-96.0492,28.795135,-28.300000000000004,STP_STP_G1,40.4,68.7
-95.918071,30.592818,-27.299999999999997,FTR_FTR_G1_4,41.5,68.8
-95.899124,29.263829,-32.129999999999995,TGF_TGFGT,38.08,70.21
-95.743663,29.078007,-28.61,SCLP_PUN1,39.8,68.41
-95.635131,29.478021,-27.730000000000004,WAP_WAP_G8,40.86,68.59
-95.63046,29.483665,-28.009999999999998,PNPI_GT2_RN,40.54,68.55
-95.6233,29.472546,-27.730000000000004,BVE_UNIT1,40.86,68.59
-95.589515,33.631386,-30.330000000000005,LPCCS_CT11,42.71,73.04
-95.566827,33.724396,-30.300000000000004,TNSKA_CCU,42.71,73.01
-95.533039,29.942229,-27.5,THW_THWGT5X,41.08,68.58
-95.446822,29.639945,-27.819999999999993,FEGC_RN,40.78,68.6
-95.39812,29.703834,-27.839999999999996,TC_PUN1,40.87,68.71
-95.395136,29.001102,-27.269999999999996,BSF_PUN1,40.2,67.47
-95.388828,28.982454,-26.9,DOW_61_2_63,40.51,67.41
-95.25575,29.697751,-27.970000000000006,PR_PR_G2,40.98,68.95
-95.233636,29.710523,-27.340000000000003,CHEDPW_GT2,41.09,68.43
-95.219433,29.82163,-27.519999999999996,GBY_GBY_5,41.03,68.55
-95.177016,29.731568,-26.900000000000006,CAL_ALL,41,67.9
-95.130901,29.715364,-26.849999999999994,SL_PUN1,41,67.85
-95.119736,29.831805,-27.340000000000003,CVC_CVCG1_5,41.09,68.43
-95.111488,29.816829,-27.009999999999998,PSA_PUN1,41.04,68.05
-95.104872,29.876916,-27.409999999999997,CHAMON_UN1,41.08,68.49
-95.085844,29.723605,-29.810000000000002,DIB_DIB_G1,40.95,70.76
-95.071478,29.702014,-26.349999999999994,AZ_ALL,41,67.35
-95.059882,29.726801,-25.959999999999994,SRB_SRB_G4,41.03,66.99
-95.047586,29.623248,-29.069999999999993,BFM_HYD_ST1,40.92,69.99
-95.039467,29.701202,-29.29,SJS_SJS_G1,40.93,70.22
-95.038249,33.090748,-30.239999999999995,MNSES_UNIT1,42.7,72.94
-95.034015,29.667572,-29.049999999999997,MIRAGE_G1,40.92,69.97
-95.011588,29.756264,-25.809999999999995,EXN_14,41.02,66.83
-94.989969,31.939768,-27.999999999999993,SC2SES_UNIT1,42.6,70.6
-94.982578,29.486899,-28.549999999999997,BAC_RN_ALL,40.86,69.41
-94.947715,29.37874,-28.72,UCC_COG_PUN1,40.86,69.58
-94.943134,29.3787,-28.72,TXCTY_CTA,40.86,69.58
-94.932678,29.378137,-28.709999999999994,AMO_AMOCO_1,40.86,69.57
-94.924253,29.750469,-25.64,CBY4_ALL,41.03,66.67
-94.903122,29.772016,-25.699999999999996,BTE_BTE_G1,41.04,66.74
-94.900664,31.832427,-27.999999999999993,NACPW_UNIT1,42.6,70.6
-94.743933,31.366025,-27.949999999999996,LFBIO_UNIT1,42.6,70.55
-94.620088,32.018188,-27.939999999999998,TGCCS_ALL,42.61,70.55
-94.568499,32.259658,-28.29,MLSES_UNIT1,42.62,70.91
